commit	best_acc	memory_gb	status	description
3a75142	83.62	0.2	keep	baseline ResNet-20
599f493	78.17	0.2	discard	cosine LR + weight decay 5e-4 (too aggressive WD)
29a3255	81.70	0.2	discard	OneCycleLR max_lr=0.4 (too aggressive for 4k steps)
b805bb7	80.94	0.4	discard	double width 32-64-128 (slower so fewer steps)
0a46930	75.70	0.8	discard	batch 512 + LR 0.4 (fewer steps and too high LR)
0bf414d	81.66	0.2	discard	cutout(16) + label smoothing 0.1 + nesterov (too much regularization)
5f4f53c	84.25	0.1	keep	AMP mixed precision (2x throughput 8737 steps)
3e2f2b8	87.97	0.1	keep	AMP + cosine annealing LR (T_max=9000)
f63d5dc	89.44	0.1	keep	WD 5e-4 + Nesterov momentum
0bd7c42	88.70	0.1	discard	cutout 16x16 (regularization hurts with few epochs)
9bc2dad	87.18	0.2	discard	1.5x width 24-48-96 (fewer steps 5945 vs 8761)
0432d1e	90.02	0.1	keep	LR 0.2 (higher initial LR)
464464f	89.04	0.1	discard	LR 0.3 (too high)
cdeac4a	89.49	0.1	discard	label smoothing 0.05 (still hurts)
3ce916c	10.00	0.2	crash	ResNet-32 (LR 0.2 too high for deeper model - diverged)
455bd74	88.34	0.1	discard	mixup alpha=0.2 (regularization hurts with few epochs)
78d6d48	89.39	0.1	discard	persistent_workers + prefetch_factor=4 (no help)
1200a46	78.27	0.1	discard	EMA decay=0.999 (too conservative for 22 epochs - lags)
2bf3fbd	86.18	0.1	discard	AdamW lr=1e-3 wd=0.05 (worse than SGD+Nesterov)
fec69a9	88.03	0.1	discard	batch 64 + T_max=15000 (noisier with small batch)
69b9ab5	90.34	0.1	keep	LR warmup 500 steps then cosine
69d0636	89.43	0.1	discard	LR 0.3 with warmup (still too high)
1726fce	88.02	0.2	discard	batch 256 (too few steps 4462)
c67dace	90.08	0.1	discard	channels_last (wrong T_max)
359fbbf	90.60	0.1	keep	channels_last + T_max=13000 (12.4k steps)
c8ed022	90.33	0.1	discard	WD 1e-3 (too high)
9f56613	91.36	0.1	keep	1x1 conv shortcut instead of zero-padding
5ab98e5	90.72	0.1	discard	LR 0.25 (0.2 is sweet spot)
b201018	90.62	0.1	discard	pre-activation ResNet (worse than post-act)
4d23596	84.87	0.1	discard	width 20 (too slow 8215 steps + wrong T_max)
0b6764c	85.81	0.1	discard	SE attention (8924 steps - too slow)
5b69423	91.15	0.1	discard	gradient clipping max_norm=1.0 (slightly worse)
185538a	90.74	0.1	discard	T_max=12500 (overshoot at 13000 was better)
8cd3366	90.63	0.2	discard	cudnn benchmark (no help + more VRAM)
a1b7aca	90.10	0.1	discard	remove RandomCrop (augmentation helps)
8dfef34	89.74	0.1	discard	AutoAugment CIFAR10 (too heavy for limited training)
3e525af	90.81	0.1	discard	eta_min=0 (eta_min=1e-4 was better)
c17e0b3	90.88	0.1	discard	WD 3e-4 (5e-4 is better)
21d7c26	89.53	0.1	discard	momentum 0.95 (0.9 is better)
f882032	90.99	0.1	discard	shorter warmup 300 steps (500 was better)
a7fcc02	88.88	0.1	discard	ResNet-26 + LR 0.1 (slower + lower LR = worse)
7cfb3cc	90.51	0.1	discard	dropout 0.1 before FC
0533d71	89.11	0.1	discard	TrivialAugmentWide (any extra augmentation hurts)
82fba0d	91.15	0.1	discard	TF32 matmul precision (within noise of 91.36)
6b56598	90.50	0.2	discard	SiLU activation (worse + more VRAM)
8d899e3	89.87	0.1	discard	cosine warm restarts T_0=4000 (single decay better)
94d3b71	90.05	0.1	discard	EMA decay=0.99 (overhead reduces steps)
9447ff9	89.10	0.1	discard	T_max=15000 (too much overshoot)
4d73e66	90.46	0.1	discard	seed 123 variance check (91.36 was lucky seed)
d762518	91.33	0.1	discard	remove cuda.sync (within noise of 91.36)
c1770a2	90.28	0.1	discard	ResNet-14 (2 blocks - too little capacity)
0fc53f8	90.45	0.1	discard	wider last layer 128 (fewer steps 10633)
2172122	90.10	0.1	discard	crop padding 8 (4 is optimal)
7ecbe3b	91.31	0.1	discard	set_to_none + less printing (within noise)
